[ 1.]
[ 4.9]
[ 8.78]
[ 12.8]
[ 16.68]
[ 20.12]
[ 23.8]
[ 27.32]
[ 31.64]
[ 38.16]
[ 43.38]
[ 48.92]
[ 53.54]
[ 60.98]
[ 65.54]
[ 70.06]
[ 73.98]
[ 77.48]
[ 81.74]
[ 85.06]
[ 93.56]
[ 99.6]
[ 103.82]
[ 107.6]
[ 111.36]
[ 114.94]
[ 118.34]
[ 123.64]
[ 127.88]
[ 131.42]
[ 136.98]
[ 141.12]
[ 145.84]
[ 150.]
[ 154.28]
[ 158.1]
[ 164.08]
[ 169.08]
[ 173.4]
[ 177.58]
[ 181.46]
[ 186.34]
[ 191.54]
[ 195.76]
[ 199.32]
[ 203.44]
[ 207.64]
[ 211.06]
[ 212.16]
[ 215.56]
[ 220.62]
[ 228.8]
[ 233.68]
[ 238.36]
